"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
"-Mike Heath",288,65,8,30,36,27,9,2815,698,55,315,325,189,0,0,259,30,10,650,1
"-John Russell",315,76,13,35,60,25,3,630,151,24,68,94,55,0,0,498,39,13,155,0
"-Pete Incaviglia",540,135,30,82,88,55,1,540,135,30,82,88,55,1,1,157,6,14,172,1
"-Glenn Davis",574,152,31,91,101,64,3,985,260,53,148,173,95,0,1,1253,111,11,215,0
"-Frank White",566,154,22,76,84,43,14,6100,1583,131,743,693,300,1,1,316,439,10,750,1
"-Rafael Santana",394,86,1,38,28,36,4,1089,267,3,94,71,76,0,0,203,369,16,250,0
"-Chili Davis",526,146,13,71,70,84,6,2648,715,77,352,342,289,0,1,303,9,9,815,0
"-Herm Winningham",185,40,4,23,11,18,3,524,125,7,58,37,47,0,0,97,2,2,90,0
"-Robby Thompson",549,149,7,73,47,42,1,549,149,7,73,47,42,0,1,255,450,17,140,0
"-Joe Carter",663,200,29,108,121,32,4,1447,404,57,210,222,68,1,0,241,8,6,250,1
"-Spike Owen",528,122,1,67,45,51,4,1716,403,12,211,146,155,1,1,209,372,17,350,1
"-Mike Easler",490,148,14,64,78,49,13,3400,1000,113,445,491,301,1,0,0,0,0,700,0
"-Chris Bando",254,68,2,28,26,22,6,999,236,21,108,117,118,1,0,359,30,4,305,1
"-Jesse Barfield",589,170,40,107,108,69,6,2325,634,128,371,376,238,1,0,368,20,3,1237.5,1
"-Jeff Reed",165,39,2,13,9,16,3,196,44,2,18,10,18,1,1,332,19,2,75,0
"-Glenn Hubbard",408,94,4,42,36,66,9,3573,866,59,429,365,410,0,1,282,487,19,535,0
"-Mark Salas",258,60,8,28,33,18,3,638,170,17,80,75,36,1,1,358,32,8,137,1
"-Ron Oester",523,135,8,52,44,52,9,3368,895,39,377,284,296,0,1,367,475,19,750,0
"-Bill Schroeder",217,46,7,32,19,9,4,694,160,32,86,76,32,1,0,307,25,1,180,1
"-Gary Carter",490,125,24,81,105,62,13,6063,1646,271,847,999,680,0,0,869,62,8,1925.571,0
"-Mike Diaz",209,56,12,22,36,19,2,216,58,12,24,37,19,0,0,201,6,3,90,0
"-Darryl Strawberry",475,123,27,76,93,72,4,1810,471,108,292,343,267,0,0,226,10,6,1220,0
"-Dave Winfield",565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,1,0,292,9,5,1861.46,1
"-Candy Maldonado",405,102,18,49,85,20,6,950,231,29,99,138,64,0,1,161,10,3,415,0
"-Mel Hall",442,131,18,68,77,33,6,1416,398,47,210,203,136,1,0,233,7,7,550,1
"-Jack Clark",232,55,9,34,23,45,12,4405,1213,194,702,705,625,0,0,623,35,3,1300,0
"-Kirby Puckett",680,223,31,119,96,34,3,1928,587,35,262,201,91,1,1,429,8,6,365,1
"-Lance Parrish",327,84,22,53,62,38,10,4273,1123,212,577,700,334,1,0,483,48,6,800,0
"-Bob Brenly",472,116,16,60,62,74,6,1924,489,67,242,251,240,0,1,518,55,3,600,0
"-Craig Reynolds",313,78,6,32,41,12,12,3742,968,35,409,321,170,0,1,106,206,7,416.667,0
"-Jim Morrison",537,147,23,58,88,47,10,2744,730,97,302,351,174,0,0,92,257,20,277.5,0
"-Greg Gagne",472,118,12,63,54,30,4,793,187,14,102,80,50,1,1,228,377,26,155,1
"-Tito Landrum",205,43,2,24,17,20,7,854,219,12,105,99,71,0,0,131,6,1,286.667,0
"-Tom Brunansky",593,152,23,69,75,53,6,2765,686,133,369,384,321,1,1,315,10,6,940,1
"-Carney Lansford",591,168,19,80,72,39,9,4478,1307,113,634,563,319,1,1,67,147,4,1200,1
"-Tony Phillips",441,113,5,76,52,76,5,1546,397,17,226,149,191,1,1,160,290,11,425,1
"-Bill Doran",550,152,6,92,37,81,5,2308,633,32,349,182,308,0,1,262,329,16,625,0
"-John Kruk",278,86,4,33,38,45,1,278,86,4,33,38,45,0,1,102,4,2,110,0
"-Rick Dempsey",327,68,13,42,29,45,18,3949,939,78,438,380,466,1,0,659,53,7,400,1
"-John Moses",399,102,3,56,34,34,5,670,167,4,89,48,54,1,1,211,9,3,80,1
"-Curt Ford",214,53,2,30,29,23,2,226,59,2,32,32,27,0,0,109,7,3,70,0
"-Marvell Wynne",288,76,7,34,37,15,4,1644,408,16,198,120,113,0,1,203,3,3,240,0
"-Tim Hulett",520,120,17,53,44,21,4,927,227,22,106,80,52,1,1,70,144,11,185,1
"-Jose Uribe",453,101,3,46,43,61,3,948,218,6,96,72,91,0,1,249,444,16,195,0
"-Bo Diaz",474,129,10,50,56,40,10,2331,604,61,246,327,166,0,1,732,83,13,750,0
"-Mike Aldrete",216,54,2,27,25,33,1,216,54,2,27,25,33,0,1,317,36,1,75,0
"-Bill Almon",196,43,7,29,27,30,13,3231,825,36,376,290,238,0,0,80,45,8,240,0
"-Juan Samuel",591,157,16,90,78,26,4,2020,541,52,310,226,91,0,0,290,440,25,640,0
"-Cal Ripken",627,177,25,98,81,70,6,3210,927,133,529,472,313,1,0,240,482,13,1350,1
"-Ken Oberkfell",503,136,5,62,48,83,10,3423,970,20,408,303,414,0,1,65,258,8,725,0
"-Brett Butler",587,163,4,92,51,70,6,2695,747,17,442,198,317,1,0,434,9,3,765,1
"-Rance Mulliniks",348,90,11,50,45,43,10,2288,614,43,295,273,269,1,0,60,176,6,450,1
"-Rick Burleson",271,77,5,35,29,33,12,4933,1358,48,630,435,403,1,1,62,90,3,450,1
"-Julio Franco",599,183,10,80,74,32,5,2482,715,27,330,326,158,1,0,231,374,18,775,1
"-Harry Spilman",143,39,5,18,30,15,9,639,151,16,80,97,61,0,1,138,15,1,175,0
"-Tony Bernazard",562,169,17,88,73,53,8,3181,841,61,450,342,373,1,0,351,442,17,530,1
"-Rey Quinones",312,68,2,32,22,24,1,312,68,2,32,22,24,1,0,86,150,15,70,1
"-Rafael Ramirez",496,119,8,57,33,21,7,3358,882,36,365,280,165,0,1,155,371,29,875,0
"-Harold Reynolds",445,99,1,46,24,29,4,618,129,1,72,31,48,1,1,278,415,16,87.5,1
"-Eric Davis",415,115,27,97,71,68,3,711,184,45,156,119,99,0,1,274,2,7,300,0
"-Alan Wiggins",239,60,0,30,11,22,6,1941,510,4,309,103,207,1,0,121,151,6,700,1
"-Von Hayes",610,186,19,107,98,74,6,2728,753,69,399,366,286,0,0,1182,96,13,1300,0
"-Milt Thompson",299,75,6,38,23,26,3,580,160,8,71,33,44,0,0,212,1,2,140,0
