"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"Vassar College",1,3550,1877,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90
"Xavier University",1,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83
"North Dakota State University",0,2968,2297,1610,13,47,7368,1128,5834,2744,600,2000,79,83,17,24,6310,42
"Mount Marty College",1,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
"Incarnate Word College",1,1163,927,386,16,49,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95
"Marymount College Tarrytown",1,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
"Florida State University",0,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
"Monmouth College",1,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
"Knox College",1,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
"University of the South",1,1445,966,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82
"Texas Wesleyan University",1,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43
"University of Missouri at Columbia",0,6574,4637,2940,32,62,14782,1583,9057,3485,600,1983,87,87,12.7,15,10145,58
"Saint Michael's College",1,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84
"Quincy University",1,1025,707,297,22,66,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80
"Roger Williams University",1,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61
"Milligan College",1,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12,16,8128,64
"Susquehanna University",1,2096,1512,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,10554,90
"University of Nebraska at Lincoln",0,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
"Goucher College",1,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
"Kansas State University",0,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
"SUNY College  at Oswego",0,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,5280,63
"University of Illinois - Urbana",0,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81
"Rutgers at New Brunswick",0,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
"University of St. Thomas TX",1,374,280,185,45,77,995,408,8550,4050,500,1344,75,75,12.6,17,7237,62
"St. Mary's College of California",1,2643,1611,465,36,80,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78
"University of Hartford",1,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66
"Columbia College",1,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
"Beloit College",1,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
"Grinnell College",1,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
"Wagner College",1,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75
"University of Mobile",1,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52
"Albright College",1,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80
"Mississippi College",1,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
"Point Park College",1,875,744,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66
"Oberlin College",1,4778,2767,678,50,89,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83
"Morris College",1,882,730,330,2,13,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60
"Marymount Manhattan College",1,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68
"College of Notre Dame of Maryland",1,457,356,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75
"Radford University",0,5702,4894,1742,15,37,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62
"Schreiner College",1,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52
"University of Minnesota Twin Cities",0,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
"Lamar University",0,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
"Wisconsin Lutheran College",1,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50
"LaGrange College",1,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
"Queens College",1,516,392,154,32,62,630,549,11020,4970,610,1900,73,75,14,36,9315,58
"Whitworth College",1,1121,926,372,43,70,1270,160,12660,4500,678,2424,80,80,16.9,20,8328,80
"Albion College",1,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73
"University of South Carolina at Columbia",0,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
"St. Martin's College",1,191,165,63,5,25,494,574,11550,4270,300,500,43,77,14.5,8,9209,40
"Gettysburg College",1,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
"University of Notre Dame",1,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97
"Viterbo College",1,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,8050,73
"McMurry University",1,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,6383,32
"Pepperdine University",1,3821,2037,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66
"Stephens College",1,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
