CO2,horse,type
550.27,510,Car
343.88,510,Car
511.93,552,Car
296.63,552,Car
603.49,565,Car
353.09,565,Car
551.4037,420,Car
333.29,420,Car
529.36,430,Car
306.95,430,Car
536.18,568,Car
309.22,568,Car
292,211,Car
199,211,Car
308,211,Car
374,211,Car
365,211,Car
323,211,Car
203,211,Car
368,211,Car
363,211,Car
301,211,Car
314,211,Car
200,211,Car
309,211,Both
338,211,Both
332,211,Both
282,211,Both
189,211,Both
374,333,Both
393,333,Both
233,333,Both
362,333,Both
379,333,Both
488,333,Both
448,333,Both
363,333,Both
391,333,Both
236,333,Both
422,211,Car
343,211,Car
429,211,Car
358,211,Car
219,211,Car
297,240,Both
297,240,Both
297,240,Both
329,240,Both
329,240,Both
329,240,Both
409,240,Both
409,240,Both
409,240,Both
358,240,Both
358,240,Both
358,240,Both
309,240,Both
309,240,Both
309,240,Both
194,240,Both
194,240,Both
194,240,Both
333,240,Both
333,240,Both
333,240,Both
387,272,Both
384,272,Both
475,272,Both
388,272,Both
464,272,Both
396,272,Both
251,272,Both
358,211,Truck
230,211,Truck
229,211,Both
357,211,Both
417,240,Both
417,240,Both
417,240,Both
361,240,Both
361,240,Both
361,240,Both
358,240,Both
358,240,Both
358,240,Both
356,240,Both
356,240,Both
356,240,Both
231,240,Both
231,240,Both
231,240,Both
351,240,Both
351,240,Both
351,240,Both
340,240,Both
340,240,Both
340,240,Both
323,211,Truck
324,211,Truck
382,211,Truck
292,211,Truck
223,211,Truck
458,272,Truck
295,272,Truck
402,240,Truck
402,240,Truck
402,240,Truck
502,240,Truck
502,240,Truck
502,240,Truck
480,240,Truck
480,240,Truck
480,240,Truck
446,240,Truck
446,240,Truck
446,240,Truck
260,240,Truck
260,240,Truck
260,240,Truck
432,240,Truck
432,240,Truck
432,240,Truck
492,240,Truck
492,240,Truck
492,240,Truck
389,240,Truck
389,240,Truck
389,240,Truck
422,240,Truck
422,240,Truck
422,240,Truck
248,240,Truck
248,240,Truck
248,240,Truck
645,525,Car
387,525,Car
479,525,Car
690,525,Car
746,525,Car
737,430,Car
654,430,Car
372,430,Car
460,430,Car
727,430,Car
649,430,Car
355,430,Car
439,430,Car
703,430,Car
728,430,Car
577,525,Car
312,525,Car
425,525,Car
579,525,Car
652,525,Car
577,525,Car
307,525,Car
421,525,Car
640,525,Car
592,525,Car
541,450,Car
483,450,Car
414,450,Car
463,450,Car
307,450,Car
466,450,Car
296,450,Car
395,450,Car
548,450,Car
517,450,Car
467,560,Car
474,560,Car
378,560,Car
572,560,Car
253,560,Car
532,560,Car
286,560,Car
422,560,Car
658,560,Car
526,560,Car
396,333,Both
248,333,Both
356,333,Both
448,333,Both
455,333,Both
376,333,Both
460,333,Both
472,333,Both
401,333,Both
256,333,Both
443,333,Both
266,333,Both
363,333,Both
457,333,Both
460,333,Both
484,420,Car
276,420,Car
375,420,Car
531,420,Car
438,420,Car
491,420,Car
522,420,Car
352,420,Car
424,420,Car
247,420,Car
424,420,Car
241,420,Car
366,211,Car
383,211,Car
210,211,Car
311,211,Car
312,211,Car
365,211,Car
381,211,Car
306,211,Car
204,211,Car
294,211,Car
555,520,Car
624,520,Car
429,520,Car
278,520,Car
511,520,Car
526,520,Car
599,520,Car
384,520,Car
462,520,Car
263,520,Car
510,616,Car
625,616,Car
648,616,Car
617,616,Car
333,616,Car
576,616,Car
485,616,Car
314,616,Car
589,616,Car
303,616,Car
479,616,Car
652,616,Car
703,616,Car
592,616,Car
298,616,Car
465,616,Car
690.22275,505,Car
408.10588,505,Car
558.76453,505,Car
777.17787,505,Car
776.52874,505,Car
290.8360369,181,Both
172.298865,181,Both
298,181,Both
171.77,181,Both
291.76,181,Both
180.39,181,Both
305.08,181,Both
180.24,181,Both
320.03,181,Both
186.01,181,Both
191.34,181,Both
326.22,181,Both
292.05,240,Both
312.03,240,Both
189.51,240,Both
291.04,240,Both
186.34,240,Both
304.85,240,Both
308.62,240,Both
202.86,240,Both
335.65,240,Both
205.61,240,Both
313.69,240,Both
323.97,240,Both
201.71,240,Both
291.87,181,Both
173.83,181,Both
289.964953,181,Both
169.320866,181,Both
315.57,181,Both
180.35,181,Both
299.04,181,Both
180.32,181,Both
311.58,181,Both
178.96,181,Both
298.21,181,Both
181.35,181,Both
184.3283971,181,Both
309.8485824,181,Both
241.11,183,Car
241.11,183,Car
241.11,183,Car
241.11,183,Car
159.21,183,Car
159.21,183,Car
159.21,183,Car
159.21,183,Car
247.97,183,Car
247.97,183,Car
247.97,183,Car
247.97,183,Car
154.67,183,Car
154.67,183,Car
154.67,183,Car
154.67,183,Car
240.2,183,Car
240.2,183,Car
240.2,183,Car
240.2,183,Car
158.15,183,Car
158.15,183,Car
158.15,183,Car
158.15,183,Car
156,183,Car
156,183,Car
156,183,Car
156,183,Car
250.33,183,Car
250.33,183,Car
250.33,183,Car
250.33,183,Car
165.86,183,Car
165.86,183,Car
165.86,183,Car
165.86,183,Car
247.87,183,Car
247.87,183,Car
247.87,183,Car
247.87,183,Car
169.95,183,Car
169.95,183,Car
169.95,183,Car
169.95,183,Car
253.89,183,Car
253.89,183,Car
253.89,183,Car
253.89,183,Car
173.85,183,Car
173.85,183,Car
173.85,183,Car
173.85,183,Car
255.64,183,Car
255.64,183,Car
255.64,183,Car
255.64,183,Car
267.8,183,Car
267.8,183,Car
267.8,183,Car
267.8,183,Car
176.48,183,Car
176.48,183,Car
176.48,183,Car
176.48,183,Car
166.81,183,Car
166.81,183,Car
166.81,183,Car
166.81,183,Car
248.85,183,Car
248.85,183,Car
248.85,183,Car
248.85,183,Car
165.87,183,Car
165.87,183,Car
165.87,183,Car
165.87,183,Car
249.22,183,Car
249.22,183,Car
249.22,183,Car
249.22,183,Car
246.2729224,183,Car
246.2729224,183,Car
246.2729224,183,Car
246.2729224,183,Car
164.0993753,183,Car
164.0993753,183,Car
164.0993753,183,Car
164.0993753,183,Car
164.9278876,183,Car
164.9278876,183,Car
164.9278876,183,Car
164.9278876,183,Car
259.42,183,Car
259.42,183,Car
259.42,183,Car
259.42,183,Car
169.94,183,Car
169.94,183,Car
169.94,183,Car
169.94,183,Car
175.1535785,240,Car
303.5073054,240,Car
177.07,240,Car
296.85,240,Car
304.09,240,Car
172.29,240,Car
306.77,240,Car
173.05,240,Car
291.7086768,241,Car
177.2019934,241,Car
297.9622857,241,Car
176.5914764,241,Car
280.54,241,Car
183.55,241,Car
309.77,241,Car
176.22,241,Car
318.7,241,Car
188.05,241,Car
301.14,241,Car
177.86,241,Car
307.51,241,Car
182.22,241,Car
306.26,240,Car
179.75,240,Car
311.44,240,Car
178.98,240,Car
311.84,240,Car
188.36,240,Car
188.64,240,Car
313.4,240,Car
296.84,241,Car
185.46,241,Car
187.14,241,Car
298.83,241,Car
308.56,241,Car
182.42,241,Car
313.29,241,Car
184.71,241,Car
314.06,240,Car
187.17,240,Car
319.25,240,Car
191.28,240,Car
317.31,240,Car
192.3,240,Car
328.68,240,Car
194.53,240,Car
312.82,241,Both
192.89,241,Both
313.34,241,Both
193.01,241,Both
330.03,181,Both
194.06,181,Both
329.87,181,Both
193.97,181,Both
329.73,181,Both
195.29,181,Both
310.12,181,Both
197.57,181,Both
308.27,181,Both
193.74,181,Both
322.1380716,181,Both
197.1832922,181,Both
338.72,300,Both
206.08,300,Both
338.69,300,Both
209.65,300,Both
307.75,300,Both
190.88,300,Both
309.43,300,Both
189.68,300,Both
310.05,300,Both
194.75,300,Both
305.98,300,Both
335.85,300,Both
193.83,300,Both
332.07,300,Both
193.91,300,Both
352.79,300,Both
224.21,300,Both
353.7,300,Both
222.32,300,Both
213.1906215,300,Both
208.3904609,300,Both
339.265242,300,Both
338.8763017,300,Both
351.6197516,300,Both
211.6153969,300,Both
341.5732327,300,Both
356.0090979,300,Both
211.6183135,300,Both
355.03,300,Both
205.69,300,Both
350.09,300,Both
207,300,Both
369.66,300,Both
206.83,300,Both
309.37,240,Car
178.19,240,Car
180.4173559,240,Car
334.1311732,240,Car
312.82,240,Car
184.55,240,Car
328.05,240,Car
186.85,240,Car
323.42,240,Car
191.71,240,Car
337.68,240,Car
189.66,240,Car
333.22,240,Car
192.29,240,Car
342.98,240,Car
197.98,240,Car
318.73,181,Both
180.4,181,Both
322.16,181,Both
186.87,181,Both
173.9148006,241,Both
281.1368699,241,Both
302.62,241,Both
175.11,241,Both
284.1055776,241,Both
176.9809913,241,Both
311.03,241,Both
179.72,241,Both
300.53,240,Car
172.38,240,Car
173.18,240,Car
312.41,240,Car
173.08,240,Car
309.7,240,Car
182.58,240,Car
321.47,240,Car
183.93,240,Car
302.74,241,Both
187.57,241,Both
319.55,241,Both
183.78,241,Both
307.18,241,Both
191.73,241,Both
321.4,241,Both
190.18,241,Both
308.63,240,Car
308.63,240,Car
184.45,240,Car
184.45,240,Car
321.19,240,Car
321.19,240,Car
184.37,240,Car
184.37,240,Car
314.87,240,Car
314.87,240,Car
188.54,240,Car
188.54,240,Car
327.04,240,Car
327.04,240,Car
189.11,240,Car
189.11,240,Car
342.41,300,Both
199.79,300,Both
342.26,300,Both
198.94,300,Both
350.84,300,Both
206.78,300,Both
356.62,300,Both
199.4,300,Both
357.41,300,Both
212.97,300,Both
332.2,300,Both
196.09,300,Both
357.8711569,300,Both
201.1570794,300,Both
328.13,300,Both
194.16,300,Both
347.07,300,Both
196.74,300,Both
200.1706269,300,Both
339.6815633,300,Both
350.01,300,Both
200.74,300,Both
368.85,300,Both
225.38,300,Both
342.28,300,Both
205.38,300,Both
365.01,300,Both
204.62,300,Both
291.97,241,Car
180.38,241,Car
286.33,241,Car
193.02,241,Car
190.45,241,Car
317.47,241,Car
189.44,241,Car
320.72,241,Car
195.83,241,Car
302.1,241,Car
190.65,241,Car
325.44,241,Car
191.38,241,Car
304.08,255,Car
304.08,255,Car
304.08,255,Car
304.08,255,Car
191.29,255,Car
191.29,255,Car
191.29,255,Car
191.29,255,Car
314.48,255,Car
314.48,255,Car
314.48,255,Car
314.48,255,Car
189.47,255,Car
189.47,255,Car
189.47,255,Car
189.47,255,Car
303.01,255,Car
303.01,255,Car
303.01,255,Car
303.01,255,Car
185.21,255,Car
185.21,255,Car
185.21,255,Car
185.21,255,Car
300.42,255,Car
300.42,255,Car
300.42,255,Car
300.42,255,Car
179.58,255,Car
179.58,255,Car
179.58,255,Car
179.58,255,Car
307.45,255,Car
307.45,255,Car
307.45,255,Car
307.45,255,Car
195.67,255,Car
195.67,255,Car
195.67,255,Car
195.67,255,Car
302.13,255,Car
302.13,255,Car
302.13,255,Car
302.13,255,Car
322.24,255,Car
322.24,255,Car
322.24,255,Car
322.24,255,Car
194.44,255,Car
194.44,255,Car
194.44,255,Car
194.44,255,Car
303.2200016,255,Car
303.2200016,255,Car
303.2200016,255,Car
303.2200016,255,Car
185.3841327,255,Car
185.3841327,255,Car
185.3841327,255,Car
185.3841327,255,Car
307.19,255,Car
307.19,255,Car
307.19,255,Car
307.19,255,Car
196.03,255,Car
196.03,255,Car
196.03,255,Car
196.03,255,Car
336.4,300,Car
208.04,300,Car
337.83,300,Car
213.33,300,Car
362.15,300,Car
214.91,300,Car
383.59,300,Car
215.01,300,Car
329.56,300,Car
201.25,300,Car
216.9896051,300,Car
382.2395438,300,Car
380.8313023,300,Car
222.8229476,300,Car
350.95,300,Car
197.76,300,Car
363.79,300,Car
208.51,300,Car
236.1,300,Car
366.3,300,Car
377.29,300,Car
229.05,300,Car
380.1,300,Car
228.87,300,Car
366.38,300,Car
231.72,300,Car
353.9,300,Car
223.61,300,Car
355.45,300,Car
225.89,300,Car
381.27,300,Car
220.42,300,Car
375.19,300,Car
224.14,300,Car
333.96,300,Car
209.35,300,Car
329.17,300,Car
213.95,300,Car
326.42,300,Car
370.99,300,Car
216.94,300,Car
370.96,300,Car
215.64,300,Car
385.56,300,Car
248.61,300,Car
410.22,300,Car
252.29,300,Car
390.88,300,Car
240.77,300,Car
377.1,300,Car
240.16,300,Car
408.39,443,Car
247.13,443,Car
442.7450313,443,Car
273.0476202,443,Car
250.1390146,443,Car
403.64,443,Car
248.07,443,Car
434.73,443,Car
248.64,443,Car
435.73,448,Car
271.77,448,Car
274.29,448,Car
462.88,448,Car
430.37,448,Car
270.83,448,Car
457.98,448,Car
275.02,448,Car
254.21,443,Car
417.04,443,Car
256.38,443,Car
446.03,443,Car
257.61,443,Car
422.01,443,Car
452.05,443,Car
260.61,443,Car
472.5361654,448,Car
285.0767181,448,Car
465.337435,448,Car
493.4245954,448,Car
285.3426618,448,Car
450.9,448,Car
280.13,448,Car
456.19,448,Car
275.08,448,Car
340.56,300,Car
214.92,300,Car
344.27,300,Car
218.14,300,Car
372.57,300,Car
